,duration,stim_type
0,2.0,triangle
1,1.1,NULL
2,2.0,triangle
3,1.9,NULL
4,2.0,square
5,1.7,NULL
6,2.0,square
7,1.9,NULL
8,2.0,line
9,1.9,NULL
10,2.0,circle
11,1.2,NULL
12,2.0,line
13,1.2,NULL
14,2.0,triangle
15,1.6,NULL
16,2.0,triangle
17,1.9,NULL
18,2.0,circle
19,1.8,NULL
20,2.0,line
21,1.2,NULL
22,2.0,circle
23,1.2,NULL
24,2.0,square
25,1.4,NULL
26,2.0,circle
27,1.3,NULL
28,2.0,square
29,1.3,NULL
30,2.0,line
31,1.9,NULL
32,2.0,square
33,1.8,NULL
34,2.0,circle
35,1.8,NULL
36,2.0,triangle
37,1.1,NULL
38,2.0,line
39,1.2,NULL
